domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_csp_report,resources_font,resources_image,resources_imageset,resources_main_frame,resources_media,resources_script,resources_stylesheet,resources_sub_frame,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
bibliometro.cl,139.0,126.0,0.906,1.0,youtube.com,126.0,0.906,55.0,0.396,54.0,0.388,9.0,0.065,0.0,1.0,0.0,0.0,0.007,0.0,-3.0,0.0,397.0,2662,1890,0.71,15,gstatic.com;youtube.com;google.com;jnn-pa.googleapis.com;google-analytics.com,1890,0.71,0,0,261,816,0,1,0,891,189,171,333,0,1,0,0,0,0,1,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",95.0,19.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6.0,0.316,10.0,0.526,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,2,1,0,0,1
boletinconcursal.cl,13.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,69,45,0.652,2,google-analytics.com;googletagmanager.com,45,0.652,0,0,1,5,0,2,0,38,5,0,18,0,0,0,0,1,0,1,0.0,TLS_1_2,RSAPublicKey,2048.0,,"CN=USERTrust RSA Certification Authority,O=The USERTRUST Network,L=Jersey City,ST=New Jersey,C=US",280.0,22.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,14.0,0.636,8.0,0.364,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,0,0,0,0,0,0
castillodeniebla.gob.cl,12.0,4.0,0.333,1.0,patrimoniovirtual.gob.cl,0.0,0.0,4.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,109,95,0.872,6,patrimoniovirtual.gob.cl;googletagmanager.com;google.com;doubleclick.net;google-analytics.com,55,0.505,9,0,6,26,0,1,0,22,3,1,41,0,0,0,0,1,1,2,0.0,TLS_1_2,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",32.0,14.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6.0,0.429,8.0,0.571,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,0,0,0,0,0,0
desarrollosocialyfamilia.gob.cl,95.0,72.0,0.758,1.0,youtube.com,72.0,0.758,46.0,0.484,38.0,0.4,13.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,397.0,377,307,0.814,13,youtube.com;jnn-pa.googleapis.com;twitter.com;google-analytics.com;doubleclick.net,307,0.814,9,0,21,87,0,1,0,134,17,18,90,0,0,0,0,1,0,1,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",190.0,24.0,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,14.0,0.583,8.0,0.333,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,1,0,0,0,1
economia.gob.cl,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,187,117,0.626,7,jsdelivr.net;fontawesome.com;fonts.googleapis.com;google-analytics.com;gstatic.com,117,0.626,0,0,27,44,0,1,0,50,47,0,18,1,1,1,1,1,1,6,0.0,TLS_1_3,ECPublicKey,384.0,secp384r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",75.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,1.0,1,1,0,0,0,1
escueladegendarmeria.gob.cl,81.0,72.0,0.889,1.0,youtube.com,72.0,0.889,37.0,0.457,37.0,0.457,10.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,397.0,1553,1323,0.852,9,youtube.com;jnn-pa.googleapis.com;doubleclick.net;google.com;google-analytics.com,1323,0.852,63,0,108,342,0,4,0,403,75,45,513,1,0,0,0,1,1,3,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=Certum Trusted Network CA,OU=Certum Certification Authority,O=Unizeto Technologies S.A.,C=PL",304.0,3.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,0
hacienda.gob.cl,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,1287,1213,0.943,12,cdninstagram.com;gstatic.com;hacienda.cl;twitter.com;fontawesome.com,1017,0.79,0,9,279,269,27,6,0,381,208,45,63,1,1,1,1,1,1,6,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",57.0,8.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5.0,0.625,0.0,0.0,,1.0,0,0,0,0,0,0
hospitalcalama.gob.cl,74.0,74.0,1.0,2.0,youtube.com;minsal.cl,72.0,0.973,38.0,0.514,37.0,0.5,10.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,361.0,493,462,0.937,14,wp.com;youtube.com;twitter.com;gstatic.com;jnn-pa.googleapis.com,450,0.913,9,0,47,102,36,1,0,132,49,36,81,0,0,0,0,1,1,2,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",300.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,0.0,1,1,0,0,0,1
infor.cl,79.0,72.0,0.911,1.0,youtube.com,72.0,0.911,36.0,0.456,37.0,0.468,10.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,397.0,381,324,0.85,13,youtube.com;fontawesome.com;jnn-pa.googleapis.com;google-analytics.com;cloudflare.com,324,0.85,9,0,37,68,0,1,0,97,79,9,81,1,1,1,1,1,1,6,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
investchile.gob.cl,113.0,108.0,0.956,2.0,linkedin.com;hsforms.com,108.0,0.956,108.0,0.956,27.0,0.239,27.0,0.239,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,177.0,397.0,414,369,0.891,10,gstatic.com;googletagmanager.com;google.com;hsforms.com;licdn.com,369,0.891,0,0,75,54,7,1,1,173,40,18,45,0,0,0,0,1,0,1,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=Starfield Services Root Certificate Authority - G2,O=Starfield Technologies\, Inc.,L=Scottsdale,ST=Arizona,C=US",347.0,5.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,0.4,0.0,0.0,,0.0,1,1,0,0,0,1
lab.gob.cl,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,87.0,397.0,397.0,604,603,0.998,12,gstatic.com;website-files.com;sharethis.com;typekit.net;jsdelivr.net,603,0.998,0,0,306,90,0,1,18,144,18,0,27,1,1,0,0,1,0,3,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",24.0,8.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5.0,0.625,0.0,0.0,,1.0,1,1,0,0,0,1
minmujeryeg.gob.cl,28.0,0.0,0.0,0.0,,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,1.0,-3.0,0.0,0.0,380,234,0.616,6,google-analytics.com;googletagmanager.com;fonts.googleapis.com;cloudflare.com;bootstrapcdn.com,234,0.616,0,0,29,62,5,1,0,142,87,0,54,1,1,1,1,1,1,6,0.0,TLS_1_2,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",261.0,4.0,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,4.0,1.0,0.0,0.0,,1.0,1,4,1,1,1,1
minrel.gob.cl,17.0,9.0,0.529,1.0,translate-pa.googleapis.com,9.0,0.529,0.0,0.0,9.0,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,180.0,397.0,267,110,0.412,8,google.com;gstatic.com;googletagmanager.com;translate.googleapis.com;translate-pa.googleapis.com,109,0.408,9,0,3,165,5,1,0,44,22,0,18,1,1,1,1,1,1,6,0.0,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",86.0,3.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
modernizacion.gob.cl,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,33,0.559,3,gstatic.com;fonts.googleapis.com;hacienda.cl,27,0.458,0,0,18,11,0,1,0,16,13,0,0,1,1,1,1,1,1,6,0.0,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",53.0,8.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5.0,0.625,0.0,0.0,,1.0,0,0,0,0,0,0
monumentos.gob.cl,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,58,37,0.638,4,google.com;googletagmanager.com;doubleclick.net;google.es,37,0.638,9,0,7,11,0,1,0,10,2,0,18,1,0,0,0,1,1,3,0.0,TLS_1_3,ECPublicKey,384.0,secp384r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",45.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,0.0,0,0,0,0,0,0
mop.gob.cl,8.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,397.0,397.0,161,90,0.559,3,gstatic.com;google-analytics.com;googletagmanager.com,90,0.559,0,0,66,32,3,1,0,27,14,0,18,1,0,0,0,0,0,1,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
museoarqueologicolaserena.gob.cl,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,373,353,0.946,4,openstreetmap.org;unpkg.com;google-analytics.com;googletagmanager.com,353,0.946,0,0,6,298,1,1,0,37,12,0,18,0,0,0,0,1,1,2,0.0,TLS_1_2,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",54.0,14.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6.0,0.429,8.0,0.571,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,0,0,0,0,0,0
sfgp.gob.cl,20.0,8.0,0.4,1.0,patrimoniovirtual.gob.cl,0.0,0.0,8.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,110,93,0.845,3,google-analytics.com;googletagmanager.com;patrimoniovirtual.gob.cl,81,0.736,0,0,6,9,0,1,0,52,2,2,38,0,0,0,0,1,1,2,0.0,TLS_1_2,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",54.0,14.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,6.0,0.429,8.0,0.571,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,0,0,0,0,0,0
superir.gob.cl,84.0,72.0,0.857,1.0,youtube.com,72.0,0.857,36.0,0.429,36.0,0.429,9.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,397.0,469,414,0.883,15,fbcdn.net;youtube.com;gstatic.com;jnn-pa.googleapis.com;doubleclick.net,414,0.883,9,0,46,92,0,1,0,188,34,18,81,0,0,0,0,1,0,1,0.0,TLS_1_2,RSAPublicKey,2048.0,,"CN=Sectigo RSA Domain Validation Secure Server CA,O=Sectigo Limited,L=Salford,ST=Greater Manchester,C=GB",280.0,22.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,14.0,0.636,8.0,0.364,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,1,1,0,0,0
tdpi.cl,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,37,0.725,4,jsdelivr.net;fonts.googleapis.com;gstatic.com;archive.org,37,0.725,0,0,9,13,0,1,0,9,19,0,0,1,1,1,1,1,1,6,0.0,TLS_1_3,ECPublicKey,384.0,secp384r1,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",75.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,1.0,0,0,0,0,0,0
