domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_csp_report,resources_font,resources_image,resources_imageset,resources_main_frame,resources_media,resources_object,resources_other,resources_script,resources_stylesheet,resources_sub_frame,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
administracion.gob.es,14.0,0.0,0.0,0.0,,0.0,0.0,5.0,0.357,5.0,0.357,5.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,388.0,388.0,2343.0,650.0,0.277,4.0,google.com;doubleclick.net;googletagmanager.com;google.es,650.0,0.277,162.0,0.0,20.0,1616.0,0.0,1.0,0.0,0.0,0.0,205.0,6.0,0.0,333.0,1,0,0,1,1,1,4,,TLS_1_3,RSAPublicKey,2048.0,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",53.0,4.0,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,0.5,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
administracionelectronica.gob.es,479.0,83.0,0.173,3.0,youtube.com;twitter.com;redsara.es,83.0,0.173,46.0,0.096,46.0,0.096,341.0,0.712,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,388.0,4601.0,3707.0,0.806,13.0,twitter.com;youtube.com;jnn-pa.googleapis.com;doubleclick.net;google-analytics.com,3707.0,0.806,126.0,0.0,189.0,894.0,0.0,15.0,0.0,0.0,0.0,1599.0,190.0,431.0,1157.0,0,0,0,0,1,0,1,,TLS_1_3,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",46.0,4.0,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aemps.gob.es,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,108.0,0.571,6.0,cloudflare.com;gstatic.com;ajax.googleapis.com;jsdelivr.net;googletagmanager.com,108.0,0.571,0.0,0.0,63.0,40.0,1.0,1.0,4.0,1.0,0.0,36.0,43.0,0.0,0.0,0,0,0,0,0,0,0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0
avance.digital.gob.es,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2973.0,1134.0,0.381,3.0,gstatic.com;fonts.googleapis.com;ajax.googleapis.com,1134.0,0.381,0.0,0.0,719.0,590.0,0.0,38.0,0.0,0.0,0.0,789.0,466.0,0.0,371.0,0,1,0,0,1,1,3,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,4.0,1.0,1.0,1.0,1.0
carpetaciudadana.gob.es,9.0,0.0,0.0,0.0,,0.0,0.0,3.0,0.333,2.0,0.222,9.0,1.0,0.0,2.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,1443.0,1403.0,0.972,1.0,redsara.es,1403.0,0.972,0.0,0.0,129.0,993.0,0.0,40.0,0.0,0.0,0.0,122.0,159.0,0.0,0.0,1,1,0,0,1,1,4,,TLS_1_2,RSAPublicKey,2048.0,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",53.0,22.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,14.0,0.636,8.0,0.364,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cibim.transportes.gob.es,73.0,72.0,0.986,1.0,youtube.com,72.0,0.986,37.0,0.507,37.0,0.507,9.0,0.123,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,353.0,2637.0,2354.0,0.893,9.0,youtube.com;fonts.googleapis.com;gstatic.com;jnn-pa.googleapis.com;doubleclick.net,2259.0,0.857,54.0,0.0,459.0,385.0,0.0,15.0,0.0,0.0,0.0,487.0,616.0,117.0,504.0,1,0,0,1,1,1,4,,TLS_1_3,RSAPublicKey,2048.0,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",53.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ciencia.gob.es,93.0,0.0,0.0,0.0,,0.0,0.0,93.0,1.0,93.0,1.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,240.0,0.716,8.0,cdninstagram.com;fonts.googleapis.com;fontawesome.com;gstatic.com;lightwidget.com,240.0,0.716,0.0,0.0,48.0,152.0,0.0,1.0,0.0,0.0,0.0,48.0,76.0,9.0,1.0,1,0,0,0,1,1,3,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0
ciencia.sede.gob.es,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,100.0,0.388,2.0,googletagmanager.com;redsara.es,100.0,0.388,0.0,0.0,7.0,91.0,0.0,5.0,0.0,0.0,0.0,148.0,7.0,0.0,0.0,1,0,0,1,1,1,4,,TLS_1_3,RSAPublicKey,2048.0,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",298.0,4.0,TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,0.5,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,1.0
ciudadaniaexterior.inclusion.gob.es,10.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.7,3.0,0.3,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,353.0,388.0,526.0,157.0,0.298,2.0,insuit.net;google-analytics.com,157.0,0.298,0.0,0.0,16.0,108.0,0.0,5.0,0.0,0.0,8.0,244.0,47.0,15.0,83.0,1,1,0,0,1,1,4,,TLS_1_3,RSAPublicKey,2048.0,,"OU=AC Componentes Informáticos,O=FNMT-RCM,C=ES",54.0,16.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,7.0,0.438,6.0,0.375,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,1.0,0.0,0.0,0.0,0.0,0.0,0.0
clave.gob.es,246.0,54.0,0.22,2.0,demdex.net;everesttech.net,54.0,0.22,121.0,0.492,0.0,0.0,16.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,388.0,100.0,73.0,0.73,5.0,adobedtm.com;demdex.net;omtrdc.net;everesttech.net;rum.hlx.page,72.0,0.72,0.0,0.0,4.0,24.0,5.0,1.0,0.0,0.0,0.0,34.0,4.0,9.0,19.0,1,1,0,0,1,1,4,,TLS_1_3,RSAPublicKey,2048.0,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",223.0,6.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,3.0,0.5,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cnrha.sanidad.gob.es,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,19.0,0.396,3.0,fonts.googleapis.com;gstatic.com;mscbs.es,18.0,0.375,0.0,0.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,12.0,14.0,0.0,0.0,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048.0,,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",54.0,5.0,TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2.0,0.4,3.0,0.6,TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpage.mpr.gob.es,43.0,9.0,0.209,1.0,translate-pa.googleapis.com,9.0,0.209,0.0,0.0,9.0,0.209,9.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,388.0,388.0,418.0,403.0,0.964,11.0,wp.com;gstatic.com;google.com;mpr.es;translate-pa.googleapis.com,353.0,0.844,18.0,0.0,22.0,198.0,1.0,1.0,0.0,0.0,0.0,94.0,20.0,1.0,63.0,0,0,0,1,0,0,1,,TLS_1_3,RSAPublicKey,4096.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",78.0,30.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,11.0,0.367,16.0,0.533,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1.0,1.0,0.0,0.0,0.0,1.0
cultura.gob.es,10.0,9.0,0.9,1.0,twitter.com,9.0,0.9,9.0,0.9,10.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,130.0,27.0,0.208,1.0,twitter.com,27.0,0.208,0.0,0.0,4.0,61.0,0.0,2.0,0.0,0.0,0.0,29.0,16.0,9.0,9.0,1,0,0,0,1,0,2,,TLS_1_3,RSAPublicKey,2048.0,,"OU=AC Componentes Informáticos,O=FNMT-RCM,C=ES",55.0,9.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,6.0,0.667,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
datos.gob.es,139.0,108.0,0.777,2.0,clarity.ms;bing.com,108.0,0.777,114.0,0.82,9.0,0.065,29.0,0.209,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,378.0,388.0,393.0,245.0,0.623,8.0,insuit.net;clarity.ms;google-analytics.com;googletagmanager.com;hotjar.com,245.0,0.623,0.0,0.0,18.0,149.0,0.0,2.0,0.0,0.0,0.0,104.0,24.0,5.0,91.0,0,0,0,0,1,1,2,,TLS_1_2,RSAPublicKey,2048.0,,"CN=HARICA TLS RSA Root CA 2021,O=Hellenic Academic and Research Institutions CA,C=GR",207.0,10.0,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,4.0,0.4,6.0,0.6,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1.0,1.0,0.0,0.0,0.0,1.0
defensa.gob.es,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,353.0,353.0,127.0,42.0,0.331,3.0,twitter.com;youtube.com;flickr.com,42.0,0.331,0.0,0.0,5.0,47.0,0.0,1.0,0.0,0.0,0.0,41.0,15.0,9.0,9.0,1,1,0,0,1,1,4,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,4.0,1.0,1.0,1.0,1.0
