domain,cookies_total,cookies_3p,cookies_3p_ratio,cookie_3p_domains,cookie_3p_top,tracker_cookies,tracker_cookie_ratio,cookies_secure,cookies_secure_ratio,cookies_httponly,cookies_httponly_ratio,cookies_session,cookies_session_ratio,ss_none,ss_lax,ss_strict,ss_none_ratio,ss_lax_ratio,ss_strict_ratio,expiry_min_days,expiry_median_days,expiry_max_days,req_total,req_3p,req_3p_ratio,distinct_3p_req_domains,req_3p_top,tracker_hits,tracker_hit_ratio,resources_beacon,resources_font,resources_image,resources_imageset,resources_main_frame,resources_media,resources_object,resources_script,resources_stylesheet,resources_sub_frame,resources_websocket,resources_xmlhttprequest,strict-transport-security,content-security-policy,permissions-policy,referrer-policy,x-frame-options,x-content-type-options,total_sec_headers,tls_error,tls_version_max,tls_key_alg,tls_key_size,tls_curve,tls_cert_issuer,tls_days_until_expiry,tls_cipher_suites_total,tls_cipher_suites_list,tls_cipher_suites_fs,tls_cipher_fs_ratio,tls_cipher_suites_weak,tls_cipher_weak_ratio,tls_cipher_weak_list,tls_hsts,fp_detected,fp_methods_total,fp_canvas,fp_audioCtx,fp_rtc,fp_storage
poderjudicialqro.gob.mx,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,184,0.751,10,cloudflare.com;jsdelivr.net;fontawesome.com;fonts.googleapis.com;infomexsinaloa.org,167,0.682,0,29,63,0,1,0,0,70,68,0,7,7,0,0,0,0,0,0,0,,TLS_1_3,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",65.0,47.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,28.0,0.596,16.0,0.34,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,4,1,1,1,1
portal.saludsonora.gob.mx,73.0,72.0,0.986,1.0,youtube.com,72.0,0.986,36.0,0.493,37.0,0.507,10.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,177.0,883,814,0.922,12,fbcdn.net;youtube.com;twitter.com;gstatic.com;jnn-pa.googleapis.com,810,0.917,9,38,341,0,1,0,0,264,95,36,0,99,0,0,0,0,0,0,0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
queretaro.gob.mx,13.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.462,4.0,0.308,4.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,362.0,397.0,180,46,0.256,5,google-analytics.com;googletagmanager.com;google.com;doubleclick.net;google.es,46,0.256,9,5,78,0,1,0,0,51,10,0,0,26,0,0,0,0,1,1,2,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1,4,1,1,1,1
salud.cdmx.gob.mx,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,397.0,397.0,143,117,0.818,3,youtube.com;google-analytics.com;googletagmanager.com,117,0.818,0,1,93,0,1,0,0,29,1,0,0,18,0,0,0,0,0,0,0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
saludtlax.gob.mx,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100,666,0.605,3,gstatic.com;fonts.googleapis.com;bootstrapcdn.com,666,0.605,0,426,42,0,10,0,0,201,421,0,0,0,0,0,0,0,0,0,0,,,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,0,0
sigaif.gob.mx,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51,36,0.706,3,pingdom.net;jquery.com;ajax.googleapis.com,36,0.706,0,2,5,0,2,0,0,30,3,0,0,9,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048.0,,"CN=AAA Certificate Services,O=Comodo CA Limited,L=Salford,ST=Greater Manchester,C=GB",129.0,10.0,TLS_RSA_WITH_RC4_128_SHA;TLS_RSA_WITH_RC4_128_MD5;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,3.0,0.3,7.0,0.7,TLS_RSA_WITH_RC4_128_SHA;TLS_RSA_WITH_RC4_128_MD5;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA,0.0,1,1,0,0,0,1
taxco.gob.mx,792.0,792.0,1.0,1.0,youtube.com,792.0,1.0,504.0,0.636,504.0,0.636,126.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,177.0,177.0,11035,10872,0.985,13,fbcdn.net;youtube.com;doubleclick.net;gstatic.com;jnn-pa.googleapis.com,10872,0.985,198,565,3471,0,5,0,0,3681,541,351,0,2223,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",79.0,44.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,28.0,0.636,16.0,0.364,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,4,1,1,1,1
taxco.gob.mx,792.0,792.0,1.0,1.0,youtube.com,792.0,1.0,504.0,0.636,504.0,0.636,126.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,177.0,177.0,11035,10872,0.985,13,fbcdn.net;youtube.com;doubleclick.net;gstatic.com;jnn-pa.googleapis.com,10872,0.985,198,565,3471,0,5,0,0,3681,541,351,0,2223,0,0,0,0,0,0,0,,TLS_1_2,RSAPublicKey,2048.0,,"CN=ISRG Root X1,O=Internet Security Research Group,C=US",79.0,44.0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384;TLS_DHE_RSA_WITH_ARIA_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CCM_8;TLS_DHE_RSA_WITH_AES_256_CCM;TLS_DHE_RSA_WITH_AES_256_CBC_SHA256;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CCM_8;TLS_DHE_RSA_WITH_AES_128_CCM;TLS_DHE_RSA_WITH_AES_128_CBC_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,28.0,0.636,16.0,0.364,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_256_CBC_SHA;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256;TLS_RSA_WITH_CAMELLIA_128_CBC_SHA;TLS_RSA_WITH_ARIA_256_GCM_SHA384;TLS_RSA_WITH_ARIA_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CCM_8;TLS_RSA_WITH_AES_256_CCM;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CCM_8;TLS_RSA_WITH_AES_128_CCM;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,4,1,1,1,1
te.gob.mx,61.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,32.0,0.525,10.0,0.164,0.0,31.0,0.0,0.0,0.508,0.0,-3.0,179.0,397.0,141,55,0.39,5,fontawesome.com;google.com;googletagmanager.com;doubleclick.net;google.es,55,0.39,9,11,63,0,1,0,0,19,16,1,0,21,0,0,0,0,1,0,1,,TLS_1_3,RSAPublicKey,2048.0,,"CN=DigiCert Global Root G2,OU=www.digicert.com,O=DigiCert Inc,C=US",251.0,8.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,5.0,0.625,0.0,0.0,,0.0,1,4,1,1,1,1
tribunaloaxaca.gob.mx,17.0,0.0,0.0,0.0,,0.0,0.0,17.0,1.0,0.0,0.0,16.0,0.941,0.0,17.0,0.0,0.0,1.0,0.0,177.0,177.0,177.0,329,267,0.812,3,tawk.to;infomexsinaloa.org;gstatic.com,252,0.766,0,4,52,0,1,0,0,154,36,0,9,73,1,0,0,0,0,0,1,,TLS_1_2,RSAPublicKey,2048.0,,"OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\, Inc.,C=US",255.0,17.0,TLS_RSA_WITH_RC4_128_SHA;TLS_RSA_WITH_RC4_128_MD5;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA;TLS_DHE_RSA_WITH_AES_256_GCM_SHA384;TLS_DHE_RSA_WITH_AES_256_CBC_SHA;TLS_DHE_RSA_WITH_AES_128_GCM_SHA256;TLS_DHE_RSA_WITH_AES_128_CBC_SHA,8.0,0.471,9.0,0.529,TLS_RSA_WITH_RC4_128_SHA;TLS_RSA_WITH_RC4_128_MD5;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA256;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_RSA_WITH_3DES_EDE_CBC_SHA,1.0,1,4,1,1,1,1
ubbj.gob.mx,4.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,181.0,397.0,215,196,0.912,7,gstatic.com;fonts.googleapis.com;ajax.googleapis.com;google-analytics.com;cdn.gob.mx,180,0.837,0,92,11,0,1,0,11,49,40,0,0,11,1,1,1,1,1,1,6,,TLS_1_3,ECPublicKey,256.0,secp256r1,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",32.0,3.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256,0.0,0.0,0.0,0.0,,1.0,1,4,1,1,1,1
uniondetula.gob.mx,37.0,36.0,0.973,1.0,youtube.com,36.0,0.973,37.0,1.0,36.0,0.973,9.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,177.0,177.0,580,513,0.884,6,fbcdn.net;gstatic.com;facebook.com;fonts.googleapis.com;ytimg.com,513,0.884,0,51,266,2,1,0,0,154,78,9,0,19,0,1,0,0,0,0,1,,TLS_1_3,RSAPublicKey,4096.0,,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",87.0,12.0,TLS_CHACHA20_POLY1305_SHA256;TLS_AES_256_GCM_SHA384;TLS_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384;TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA;TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256;TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,5.0,0.417,4.0,0.333,TLS_RSA_WITH_AES_256_GCM_SHA384;TLS_RSA_WITH_AES_256_CBC_SHA;TLS_RSA_WITH_AES_128_GCM_SHA256;TLS_RSA_WITH_AES_128_CBC_SHA,0.0,1,1,0,0,0,1
